0.005	0.005	-0.0007958
0.005	0.035	-0.00038932
0.005	0.075	-0.00024117
0.005	0.105	0.00074404
0.005	0.145	-0.0010941
0.005	0.175	9.7371e-05
0.005	0.205	-0.0014283
0.005	0.245	0.00040234
0.005	0.275	0.0030602
0.005	0.315	-0.0024296
0.005	0.345	-0.00080167
0.005	0.385	-0.00072344
0.005	0.415	0.0013663
0.005	0.445	0.0021578
0.005	0.485	-0.0013391
0.005	0.515	0.002443
0.005	0.555	0.0011239
0.005	0.585	0.0017336
0.005	0.615	0.00040077
0.005	0.655	0.00041832
0.005	0.685	-0.0009666
0.005	0.725	0.00205
0.005	0.755	-0.00074625
0.005	0.795	-0.0024497
0.005	0.825	0.00051402
0.005	0.855	0.00043185
0.005	0.895	9.7369e-05
0.005	0.925	0.00028096
0.005	0.965	0.0015516
0.005	0.995	0.00043103
0.035	0.005	-0.0018483
0.035	0.035	-0.001461
0.035	0.075	-0.00087563
0.035	0.105	0.0010112
0.035	0.145	0.0013905
0.035	0.175	-0.0016945
0.035	0.205	-4.1268e-05
0.035	0.245	0.0028113
0.035	0.275	-0.00017165
0.035	0.315	-0.00014877
0.035	0.345	-0.0006172
0.035	0.385	0.0024887
0.035	0.415	0.0018706
0.035	0.445	-0.0031081
0.035	0.485	0.00093694
0.035	0.515	0.0020933
0.035	0.555	-0.0013857
0.035	0.585	-1.5822e-05
0.035	0.615	0.0013555
0.035	0.655	0.0015315
0.035	0.685	-0.00080516
0.035	0.725	0.0010128
0.035	0.755	-0.00023689
0.035	0.795	-0.0027418
0.035	0.825	-0.00045545
0.035	0.855	0.0036091
0.035	0.895	-0.0010182
0.035	0.925	-0.00013588
0.035	0.965	0.00054777
0.035	0.995	0.00053743
0.075	0.005	0.0017451
0.075	0.035	0.0016829
0.075	0.075	-0.00036822
0.075	0.105	0.00082362
0.075	0.145	-0.00028007
0.075	0.175	0.003532
0.075	0.205	0.010717
0.075	0.245	0.022432
0.075	0.275	0.035036
0.075	0.315	0.034673
0.075	0.345	0.026678
0.075	0.385	0.015261
0.075	0.415	0.0034434
0.075	0.445	-0.00025103
0.075	0.485	-0.0011477
0.075	0.515	-0.00096292
0.075	0.555	0.000216
0.075	0.585	0.00054651
0.075	0.615	0.00064985
0.075	0.655	-0.0013781
0.075	0.685	0.00062954
0.075	0.725	4.0989e-05
0.075	0.755	0.0018089
0.075	0.795	0.00011609
0.075	0.825	-0.0025
0.075	0.855	0.00047137
0.075	0.895	-0.0022568
